ID,Language
824,Spanish
825,English
825,French
825,Italian
825,Russian
825,Spanish
826,English
826,Portuguese
827,Yiddish
827,English
827,Spanish
828,English
829,English
829,Dari
830,German
831,Mandarin
832,English
833,English
834,English
835,Hindi
836,English
837,English
838,Hindi
839,English
840,English
841,Japanese
842,Spanish
843,English
844,English
845,English
845,Mandarin
845,Spanish
845,Russian
846,Hindi
847,English
848,English
849,Turkish
850,Turkish
851,English
852,English
853,English
854,English
855,Hindi
855,English
856,English
857,English
858,English
859,English
860,English
861,English
862,English
863,English
864,English
865,Hindi
866,English
867,English
868,English
869,English
870,English
871,Hindi
872,Italian
872,Spanish
872,German
872,English
873,English
874,English
874,Greek
875,Japanese
875,English
876,English
876,Urdu
877,Mandarin
878,Spanish
878,Catalan
879,English
879,Mandarin
879,Thai
880,English
881,English
881,Spanish
882,Marathi
883,English
885,English
886,Japanese
887,Hindi
887,Bengali
888,Hindi
889,English
890,English
890,Arabic
891,English
892,English
892,Indonesian
893,English
894,English
894,French
894,Latin
895,English
896,English
896,Mandarin
896,German
897,English
898,English
899,Hindi
900,Japanese
900,English
901,English
902,Hindi
903,English
903,Spanish
903,German
904,English
905,English
906,English
907,English
908,Hindi
909,English
910,English
911,English
912,English
912,French
913,Spanish
913,English
913,Japanese
913,Latin
914,Hindi
914,English
915,English
917,Korean
917,Mandarin
918,English
919,English
920,English
921,Hindi
922,English
923,English
924,English
925,Spanish
926,English
926,Italian
927,English
928,English
929,English
930,Hindi
931,English
931,Japanese
932,English
933,English
934,English
935,English
936,English
937,Spanish
938,Wolof
938,French
938,English
938,Arabic
939,English
940,English
941,English
942,English
943,Hindi
943,Tamil
943,English
943,Marathi
944,Japanese
944,English
945,English
946,Tamil
946,Telugu
946,Hindi
946,English
946,Malayalam
946,Mandarin
946,French
947,English
948,Marathi
949,English
950,English
951,English
951,Pushto
952,English
953,English
953,French
954,English
955,English
955,Ukrainian
956,English
957,English
958,Hindi
959,English
960,English
961,English
962,Cantonese
962,English
964,English
965,Italian
966,English
966,Spanish
966,Russian
966,Italian
967,English
968,Hindi
969,English
970,English
970,Spanish
971,English
972,English
973,English
973,Japanese
973,Chinese
973,Spanish
974,English
975,English
975,Spanish
976,Hindi
976,English
977,English
977,Spanish
978,English
979,English
980,Hindi
981,English
982,English
982,Italian
983,English
984,Hindi
984,English
985,Hindi
985,Marathi
985,English
986,English
987,English
988,Hindi
989,English
990,English
991,English
993,English
994,English
994,Arabic
995,Filipino
995,Tagalog
996,English
997,English
998,English
999,English
1000,English
1001,French
1001,English
1001,Italian
1002,English
1003,English
1004,Hebrew
1004,English
1004,Arabic
1004,Russian
1005,English
1005,Japanese
1006,English
1007,English
1007,Spanish
1008,English
1008,Japanese
1009,English
1009,Chinese
1009,Spanish
1009,French
1009,Ukrainian
1010,Spanish
1011,English
1012,Turkish
1012,French
1013,English
1013,Russian
1013,Serbian
1013,Bosnian
1013,Croatian
1013,Polish
1014,Spanish
1015,English
1016,English
1017,Japanese
1018,English
1019,English
1020,English
1020,Spanish
1021,English
1021,Spanish
1022,Turkish
1023,English
1024,English
1025,Spanish
1025,English
1026,English
1027,English
1028,English
1029,Japanese
1030,Mandarin
1031,English
1032,English
1033,English
1034,English
1035,English
1036,English
1038,English
1039,English
1040,English
1041,Japanese
1041,English
1042,English
1043,English
1044,English
1045,English
1046,English
1047,English
1048,English
1049,English
1050,Cantonese
1050,Mandarin
1051,Hindi
1052,English
1052,Chinese
1053,English
1053,German
1053,French
1053,Arabic
1054,English
1055,English
1056,English
1057,English
1057,French
1058,English
1058,French
1058,Spanish
1059,English
1060,English
1060,Spanish
1061,Hindi
1062,English
1063,Filipino
1063,Tagalog
1064,English
1065,English
1066,English
1067,Hindi
1068,English
1068,Serbo-Croatian
1068,Russian
1069,Hindi
1070,Mandarin
1070,English
1071,English
1072,English
1073,English
1074,English
1075,Hindi
1076,English
1077,English
1078,English
1079,English
1079,Spanish
1079,French
1080,English
1081,Japanese
1082,Japanese
1083,Filipino
1083,Tagalog
1084,Japanese
1085,English
1086,German
1087,Urdu
1088,Turkish
1088,English
1089,Hindi
1089,English
1090,English
1091,English
1092,English
1093,English
1093,Turkish
1094,Spanish
1094,English
1095,Hindi
1096,Hindi
1097,English
1098,English
1099,Japanese
1100,French
1101,English
1102,English
1103,English
1104,English
1105,Flemish
1105,Dutch
1106,Hindi
1106,English
1107,Slovenian
1107,Serbian
1107,Croatian
1107,English
1108,English
1109,Thai
1110,Telugu
1110,Malayalam
1111,Dutch
1112,English
1113,English
1114,English
1115,English
1116,Hindi
1116,German
1116,Italian
1117,Marathi
1118,English
1119,Spanish
1120,Spanish
1121,English
1122,English
1123,Indonesian
1123,German
1124,English
1124,Spanish
1125,English
1126,English
1127,English
1128,English
1129,English
1130,English
1131,English
1131,Spanish
1132,Hindi
1133,English
1134,Japanese
1135,Hindi
1135,Awadhi
1136,English
1137,English
1138,German
1138,Yiddish
1138,Hebrew
1139,English
1140,English
1140,Swedish
1141,English
1142,English
1143,English
1144,English
1145,English
1145,Aramaic
1146,English
1147,English
1148,Spanish
1148,English
1149,Spanish
1149,English
1149,Basque
1150,English
1151,German
1152,Arabic
1152,French
1152,English
1153,English
1154,English
1155,English
1156,Punjabi
1157,English
1158,English
1159,English
1160,English
1161,English
1162,English
1163,Mandarin
1164,Icelandic
1164,English
1165,English
1166,English
1167,English
1168,Filipino
1168,Tagalog
1169,English
1170,Hindi
1171,English
1172,English
1173,English
1174,Japanese
1175,Tamil
1176,English
1177,English
1178,English
1178,German
1179,English
